('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         868114 function calls (847119 primitive calls) in 8.743 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4481    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      698    0.000    0.000    0.001    0.000 sre_parse.py:355(_escape)
      970    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       87    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:916(get_code)
    122/3    0.000    0.000    0.163    0.054 <frozen importlib._bootstrap>:1002(_find_and_load)
     4057    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      691    0.000    0.000    0.001    0.000 typing.py:703(__setattr__)
      972    0.000    0.000    0.000    0.000 socket.py:729(readable)
      937    0.000    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
      108    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      163    0.000    0.000    0.050    0.000 sre_parse.py:937(parse)
      699    0.000    0.000    0.001    0.000 sre_parse.py:432(_uniq)
       79    0.000    0.000    0.003    0.000 css_parser.py:472(parse_attribute_selector)
      198    0.000    0.000    0.001    0.000 typing.py:137(_type_check)
      117    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
        8    0.000    0.000    0.001    0.000 __init__.py:345(namedtuple)
    117/4    0.000    0.000    0.162    0.041 <frozen importlib._bootstrap>:659(_load_unlocked)
     1671    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     4247    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
      415    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
       17    0.000    0.000    0.000    0.000 enum.py:221(<setcomp>)
      148    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      620    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
       49    0.000    0.000    1.373    0.028 {method 'readline' of '_io.BufferedReader' objects}
      344    0.000    0.000    0.000    0.000 enum.py:462(__setattr__)
     1512    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
      531    0.000    0.000    0.002    0.000 enum.py:358(__call__)
      107    0.000    0.000    0.002    0.000 typing.py:729(__init__)
     3763    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     1944    0.000    0.000    0.000    0.000 ssl.py:1078(_checkClosed)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
     3301    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
    122/3    0.000    0.000    0.163    0.054 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      162    0.000    0.000    0.002    0.000 _markupbase.py:168(parse_comment)
      163    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     4185    0.000    0.000    0.000    0.000 element.py:2414(__bool__)
      102    0.000    0.000    0.001    0.000 typing_extensions.py:3178(_collect_type_vars)
      163    0.000    0.000    0.001    0.000 enum.py:977(__and__)
  189/155    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      691    0.000    0.000    0.000    0.000 typing.py:655(_is_dunder)
       10    0.000    0.000    0.000    0.000 request.py:436(add_handler)
      699    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      163    0.000    0.000    0.028    0.000 sre_compile.py:598(_code)
      148    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
      148    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      521    0.000    0.000    0.000    0.000 enum.py:670(__new__)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x10996ba60}
        6    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       10    0.000    0.000    0.001    0.000 enum.py:545(<listcomp>)
      108    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
        2    0.000    0.000    0.000    0.000 ssl.py:1298(_real_close)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       87    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
  700/652    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
      777    0.000    0.000    0.000    0.000 element.py:2355(get)
       88    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      690    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      162    0.000    0.000    0.002    0.000 _htmlparser.py:269(handle_comment)
       50    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      163    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        8    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
     87/4    0.000    0.000    0.162    0.041 <frozen importlib._bootstrap_external>:844(exec_module)
      384    0.000    0.000    0.000    0.000 element.py:2068(_all_strings)
      536    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
     1612    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
  117/114    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      283    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
