('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         961945 function calls (936534 primitive calls) in 7.931 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       62    0.000    0.000    0.001    0.000 parse.py:372(urlparse)
      204    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      737    0.000    0.000    0.000    0.000 typing.py:655(_is_dunder)
        6    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      435    0.000    0.000    0.000    0.000 os.py:754(encode)
       17    0.000    0.000    0.000    0.000 enum.py:221(<setcomp>)
       14    0.000    0.000    0.355    0.025 __init__.py:1(<module>)
     1670    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       63    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       42    0.000    0.000    0.462    0.011 response.py:767(_handle_chunk)
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
  700/652    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       10    0.000    0.000    0.001    0.000 enum.py:545(<listcomp>)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      785    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      185    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        2    0.000    0.000    0.002    0.001 parser.py:59(parsestr)
        3    0.000    0.000    0.000    0.000 cookiejar.py:459(parse_ns_headers)
       10    0.000    0.000    0.000    0.000 url.py:210(_encode_invalid_chars)
      690    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
       43    0.000    0.000    0.000    0.000 response.py:753(_update_chunk_length)
        8    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
       43    0.000    0.000    0.007    0.000 response.py:398(_decode)
  602/600    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
      420    0.000    0.000    0.000    0.000 os.py:697(__iter__)
      545    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
        2    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
      162    0.000    0.000    0.002    0.000 _htmlparser.py:269(handle_comment)
      632    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
      180    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
      384    0.000    0.000    0.000    0.000 element.py:2068(_all_strings)
      333    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:385(cached)
      806    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      208    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:156(__enter__)
      180    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      397    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
      342    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
    42/18    0.000    0.000    0.133    0.007 {built-in method builtins.__import__}
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      279    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       14    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      455    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
      342    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      202    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        3    0.000    0.000    0.256    0.085 request.py:2554(_proxy_bypass_macosx_sysconf)
      344    0.000    0.000    0.000    0.000 socket.py:729(readable)
      632    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
      253    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      267    0.000    0.000    0.000    0.000 types.py:171(__get__)
       98    0.000    0.000    0.000    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
        2    0.000    0.000    1.717    0.859 connectionpool.py:535(urlopen)
     1687    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      204    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
       99    0.000    0.000    0.001    0.000 enum.py:971(__or__)
      283    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
      618    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      408    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
      2/1    0.000    0.000    2.198    2.198 sessions.py:673(send)
      140    0.000    0.000    0.000    0.000 parse.py:114(_coerce_args)
        1    0.000    0.000    0.339    0.339 connection.py:361(connect)
      323    0.000    0.000    0.099    0.000 re.py:250(compile)
       43    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        4    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       63    0.000    0.000    0.462    0.007 client.py:606(_safe_read)
        2    0.000    0.000    1.716    0.858 connectionpool.py:379(_make_request)
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
        8    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
        1    0.000    0.000    7.726    7.726 financial.py:9(get_financial_data)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
        1    0.000    0.000    0.002    0.002 typing_extensions.py:1(<module>)
       44    0.000    0.000    0.001    0.000 typing.py:822(__getitem__)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      195    0.000    0.000    0.000    0.000 typing_extensions.py:1581(get_origin)
      195    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       15    0.000    0.000    0.001    0.000 _collections_abc.py:934(update)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x105fa10d0}
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
       10    0.000    0.000    0.000    0.000 enum.py:1017(_decompose)
    246/3    0.000    0.000    0.204    0.068 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        6    0.000    0.000    0.000    0.000 request.py:2570(ip2num)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
       25    0.000    0.000    0.000    0.000 functools.py:65(wraps)
    95/56    0.000    0.000    0.113    0.002 <frozen importlib._bootstrap>:1033(_handle_fromlist)
       70    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
  155/154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
     1093    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
    41/39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        6    0.000    0.000    0.000    0.000 cookiejar.py:1386(_normalized_cookie_tuples)
        2    0.000    0.000    1.376    0.688 client.py:309(begin)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1874(IPv6Address)
        1    0.000    0.000    0.038    0.038 dammit.py:2(<module>)
     1093    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        2    0.000    0.000    0.129    0.065 client.py:204(_read_headers)
       43    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
      235    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       48    0.000    0.000    0.002    0.000 typing.py:431(Union)
       12    0.000    0.000    0.000    0.000 message.py:497(get_all)
      283    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       75    0.000    0.000    0.000    0.000 css_parser.py:542(parse_tag_pattern)
      118    0.000    0.000    0.001    0.000 typing.py:667(__init__)
      351    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
       16    0.000    0.000    0.000    0.000 message.py:462(get)
      205    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      192    0.000    0.000    0.001    0.000 element.py:530(get_text)
      3/2    0.000    0.000    1.678    0.839 sessions.py:159(resolve_redirects)
        1    0.000    0.000    0.237    0.237 __init__.py:211(__init__)
        3    0.000    0.000    0.000    0.000 url.py:333(parse_url)
        2    0.000    0.000    0.132    0.066 client.py:222(parse_headers)
        6    0.000    0.000    0.001    0.000 cookiejar.py:1596(make_cookies)
      362    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        1    0.000    0.000    0.000    0.000 idnadata.py:3(<module>)
      689    0.000    0.000    0.000    0.000 ssl.py:1078(_checkClosed)
      153    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
       57    0.000    0.000    0.000    0.000 _collections_abc.py:761(get)
